expr_id,run_num,eb_throughput,eb_miles,eb_stops,eb_routes,eb_num_agents,van_throughput,van_miles,van_stops,van_routes,van_num_agents,car_throughput,car_miles,car_stops,car_routes,car_num_agents
template,0,5927,210.64000000000135,648,192,20,565,4.999999999999984,45,2,2,971,39.500000000000014,81,20,5
template,1,5911,203.96000000000154,621,191,20,572,4.099999999999998,47,1,2,1011,43.32,98,20,5
template,2,5983,214.9600000000012,635,195,20,597,4.139999999999999,46,1,2,1057,40.68000000000004,111,19,5
template,3,5857,210.4200000000014,619,191,20,583,2.6400000000000006,42,0,2,1102,44.04000000000003,99,20,5
template,4,5740,215.44000000000108,613,188,20,554,4.3999999999999915,39,0,2,1005,44.54000000000005,81,19,5
template,5,5961,230.16000000000167,677,198,20,584,5.479999999999986,39,2,2,1109,38.140000000000065,90,20,5
template,6,5816,212.7200000000014,624,189,20,543,6.059999999999988,37,1,2,993,45.00000000000004,98,19,5
template,7,5669,201.50000000000102,584,185,20,542,5.119999999999985,41,1,2,1076,45.32000000000003,80,21,5
template,8,6067,210.1000000000014,600,192,20,502,4.08,44,1,2,1032,40.100000000000044,122,20,5
template,9,6060,214.42000000000132,622,193,20,555,4.119999999999997,43,1,2,1015,39.360000000000014,97,20,5
template,10,5944,203.5200000000014,619,188,20,575,4.239999999999997,50,2,2,1021,42.54000000000005,84,21,5
template,11,5929,213.36000000000166,656,199,20,594,3.160000000000001,40,2,2,997,49.82000000000009,100,20,5
template,12,6068,207.04000000000138,622,194,20,584,5.219999999999985,51,1,2,1026,50.56000000000004,84,18,5
template,13,5674,196.4200000000011,645,184,20,491,5.879999999999985,45,0,2,1033,42.72000000000005,91,20,5
template,14,5964,203.76000000000084,593,191,20,568,2.640000000000001,52,0,2,1030,46.56000000000006,98,20,5
template,15,5878,209.64000000000118,632,186,20,560,4.839999999999986,46,1,2,993,39.36000000000002,113,18,5
template,16,5771,213.1000000000016,621,187,20,506,5.19999999999999,31,1,2,1095,52.380000000000045,84,22,5
template,17,6000,204.3800000000012,581,195,20,582,4.119999999999999,45,2,2,984,33.62000000000002,93,20,5
template,18,6057,213.74000000000115,624,195,20,605,6.719999999999981,49,2,2,1014,47.96000000000008,106,20,5
template,19,5992,221.2600000000014,588,192,20,582,5.879999999999987,39,2,2,1029,39.900000000000055,105,20,5
